HGNC_Symbol,log2R_CNA,Z_Score
DMD-AS3,3,-0.0117
ZNF542P,2,-0.0011
AC098828.1,4,-0.0117
CRISPLD1,4,-0.0098
CRISPLD2,3,0.0196
TBC1D26-AS1,2,-0.0117
DOCK9-DT,2,-0.0107
DHX8,2,0.0089
DHX9,4,0.0783
AC116533.1,2,-0.0028
AC080013.1,4,-0.0110
MC2R,2,-0.0117
AC093142.1,2,-0.0117
AC080013.2,2,-0.0116
AC080013.3,4,-0.0117
AC080013.4,2,-0.0115
STK25P1,3,-0.0117
OR7E47P,2,-0.0117
AC005252.2,2,-0.0117
AC005252.3,2,-0.0117
AC005252.4,2,-0.0117
SLC10A4,2,-0.0117
SLC10A5,2,-0.0114
SLC10A6,2,-0.0113
SLC10A7,2,-0.0096
AC005252.1,2,-0.0117
TRDV2,4,-0.0117
SLC10A1,0,-0.0080
TRDV3,2,-0.0117
SLC10A2,2,-0.0117
TRDV1,4,-0.0117
SLC10A3,2,0.0200
IL36G,4,-0.0117
AC022023.1,2,-0.0115
AC022023.2,2,-0.0116
AL162393.1,2,-0.0117
PEX5L,2,-0.0116
MC1R,3,-0.0107
AL021368.5,NA,-0.0117
AL021368.1,4,-0.0117
AL021368.2,2,-0.0101
AL021368.3,2,-0.0117
AL021368.4,4,-0.0117
OR7E46P,4,-0.0117
OR3A4P,2,-0.0117
AL137076.1,4,-0.0116
MC4R,3,-0.0116
MIR223HG,2,-0.0117
ZHX2,4,-0.0061
ZHX3,4,0.0024
MLECP1,2,-0.0117
CACYBP,4,0.0138
RNU7-4P,2,-0.0117
ZHX1,4,0.0078
RNF144A,2,-0.0112
MC3R,4,-0.0117
RNF144B,4,-0.0109
AP005057.1,2,-0.0117
RNU7-7P,2,-0.0117
PEX16,2,0.0027
PEX19,2,0.0102
MT2P1,3,-0.0117
RNU7-6P,2,-0.0117
PEX10,2,-0.0038
PEX12,2,-0.0045
PEX13,4,0.0023
PEX14,1,-0.0017
MC5R,3,-0.0117
PPM1J-DT,4,-0.0117
AL033523.1,4,-0.0114
RN7SL559P,4,-0.0099
AL033523.2,4,-0.0112
SNORA58B,2,-0.0117
INPPL1,2,0.0269
AC027673.1,2,-0.0117
IGF1R,5,-0.0025
PPIP5K1,2,-0.0104
AL691449.1,4,-0.0117
PPIP5K2,2,-0.0019
AL139379.1,NA,-0.0117
MIR6129,2,-0.0105
MIR6127,2,-0.0117
MIR6128,2,-0.0117
MIR6125,2,-0.0117
MIR6126,3,-0.0117
MIR6124,2,-0.0064
SNORA59A,2,-0.0060
SNORA59B,2,-0.0117
RN7SL558P,2,-0.0106
NDFIP2-AS1,2,-0.0117
DHDDS,4,0.0063
AL357084.1,4,-0.0117
AC006238.1,2,-0.0113
RNU6-649P,2,-0.0117
AC006238.2,2,-0.0113
AC104841.1,4,-0.0102
RBMS2P1,2,-0.0114
AL390038.1,4,-0.0117
RN7SL557P,3,-0.0117
HTRA3,2,-0.0110
HTRA4,2,-0.0113
HTRA1,2,0.5664
HTRA2,2,-0.0009
RNU7-3P,4,-0.0079
AC008635.1,3,-0.0105
AL391845.1,4,-0.0117
AL391845.2,4,-0.0117
AL392185.1,2,-0.0117
RN7SL556P,4,-0.0112
HULC,2,-0.0116
ZNF350-AS1,3,-0.0111
CHCHD10,2,0.0015
RNU7-2P,4,-0.0117
IGF2R,4,0.0455
AC010451.1,2,-0.0117
AL355916.1,4,-0.0110
AC010451.2,2,-0.0117
AL355916.2,4,-0.0117
AL355916.3,4,-0.0117
OR7M1P,2,-0.0113
AP000842.3,2,-0.0117
AP000842.1,2,-0.0117
AP000842.2,2,-0.0117
AL353759.1,4,-0.0115
AC010451.3,2,-0.0117
AP003973.1,2,-0.0117
AP003973.2,2,-0.0114
AP003973.3,2,-0.0117
AP003973.4,NA,-0.0117
RN7SL555P,4,-0.0101
AC100870.1,2,-0.0117
AC119424.1,2,-0.0117
AL136102.1,NA,-0.0117
ZIC2,4,-0.0117
AC034206.1,2,-0.0117
ZIC3,3,-0.0117
ZIC1,2,-0.0115
RNU6-646P,2,-0.0117
MIR6165,2,-0.0117
AC019127.1,4,-0.0115
HUNK,2,-0.0116
IGHV2OR16-5,2,-0.0117
Z99496.1,4,-0.0108
RBM48P1,2,-0.0117
RN7SL554P,4,-0.0113
RNU6-645P,2,-0.0112
MSH2-OT1,4,-0.0116
AC107029.1,4,-0.0117
AC107029.2,2,-0.0117
AL954722.1,NA,-0.0117
RNU6-648P,3,-0.0117
CLVS2,4,-0.0117
AP001180.5,2,-0.0117
RN7SL553P,2,-0.0117
AP001180.3,3,-0.0117
AL512646.1,2,-0.0117
AP001180.4,3,-0.0114
AP001180.1,3,-0.0117
AP001180.2,2,-0.0117
CLVS1,2,-0.0117
MIR6130,2,-0.0117
AL138885.1,2,-0.0117
MIR6131,2,-0.0117
AL138885.2,2,-0.0117
AL138885.3,NA,-0.0117
ZIC4,4,-0.0117
ZIC5,2,-0.0117
AL121785.1,2,-0.0117
RNU6-647P,4,-0.0114
RN7SL552P,2,-0.0113
MIR6134,3,-0.0117
AL034351.3,2,-0.0117
MIR6132,4,-0.0117
MNX1-AS1,4,-0.0117
MIR6133,4,-0.0117
MNX1-AS2,3,-0.0117
AL034351.4,4,-0.0117
RPL36AP13,4,-0.0112
RPL36AP14,2,-0.0117
RPL36AP15,4,-0.0088
RPL36AP16,2,-0.0108
EPS15-AS1,2,-0.0114
BPTFP1,2,-0.0117
SCN11A,4,-0.0116
RNU6-666P,2,-0.0117
RN7SL575P,2,-0.0117
AC084128.1,4,-0.0117
RPL36AP21,2,-0.0115
SSTR5-AS1,3,-0.0116
RPL36AP29,3,-0.0115
AC010609.1,2,-0.0117
RPL36AP26,4,-0.0117
HUS1,4,-0.0019
SCN10A,4,-0.0117
RNU6-665P,2,-0.0117
RN7SL574P,2,-0.0111
SRFBP1,2,0.0060
AC099511.1,3,-0.0117
SNORA50A,3,-0.0117
SNORA50B,5,-0.0117
SNORA50C,2,-0.0117
SNORA50D,2,-0.0117
AL133211.1,2,-0.0117
AC111149.1,2,-0.0117
AC111149.2,2,-0.0117
RRP7A,6,-0.0033
RNU6-668P,2,-0.0117
RN7SL573P,2,-0.0117
C3orf18,2,-0.0012
AC009093.10,2,-0.0115
AC009093.11,3,-0.0117
MCAM,2,-0.0090
AC083875.1,4,-0.0108
C3orf14,2,-0.0083
MCAT,2,-0.0029
AC123784.1,NA,-0.0117
AC008873.1,2,-0.0113
ZNF559-ZNF177,2,-0.0114
OR10AH1P,4,-0.0117
RNU6-667P,5,-0.0117
RPL36AP10,4,-0.0117
AL353614.1,2,-0.0117
MOCS2,2,0.0028
MOCS3,2,-0.0050
AL024498.2,2,-0.0117
AC036111.2,2,-0.0117
AC036111.3,2,-0.0117
FGD5-AS1,4,0.0569
MCEE,2,0.0020
AL024498.1,4,-0.0112
AC036111.1,2,-0.0117
RRP12,2,-0.0038
RNU6-662P,4,-0.0117
RN7SL571P,4,-0.0117
AL024508.1,2,-0.0117
RRP15,4,-0.0070
ZIK1,3,-0.0068
CT45A10,2,-0.0117
MIR4659A,4,-0.0117
MIR4659B,2,-0.0117
AL135908.1,2,-0.0117
ECRG4,2,-0.0117
RNU6-661P,2,-0.0114
MOCS1,2,0.0033
RN7SL570P,2,-0.0117
TRBV12-1,4,-0.0117
AP001086.1,2,-0.0112
TRBV12-2,3,-0.0117
TRBV12-3,3,-0.0117
TRBV12-4,3,-0.0117
TRBV12-5,4,-0.0117
RASSF10,2,-0.0117
RRP36,4,0.0507
AC104506.1,4,-0.0112
PAIP2,0,0.0030
ZIM2,2,-0.0117
RNU6-664P,2,-0.0117
ZIM3,3,-0.0117
PAIP1,2,0.0382
AC010359.1,2,-0.0107
ARHGEF9-IT1,2,-0.0114
MCF2,2,-0.0117
AC010359.2,2,-0.0105
MOCOS,3,-0.0094
AC010359.3,2,-0.0114
AC104350.1,2,-0.0113
RRP1B,2,0.0073
AP002990.1,2,-0.0110
HERC2P10,2,-0.0116
HERC2P11,2,-0.0117
AC069240.1,2,-0.0117
RNASEH2CP1,NA,-0.0117
AL161719.1,2,-0.0117
RBMS1P1,2,-0.0103
RNU6-663P,2,-0.0117
DNM3OS,2,-0.0041
MT1DP,2,-0.0107
AP001922.3,2,-0.0117
AP001922.4,2,-0.0115
AP001922.5,2,-0.0106
AP001922.6,2,-0.0116
TMEM252-DT,2,-0.0117
AP001922.1,2,-0.0117
AP001922.2,2,-0.0117
UICLM,2,-0.0116
AC007161.1,4,-0.0116
AC007161.2,3,-0.0116
AC007161.3,4,-0.0117
DIO1,2,-0.0114
DIO2,2,-0.0085
DIO3,2,-0.0117
AP007216.1,2,-0.0117
FAM91A1,4,0.0194
AP007216.2,2,-0.0117
AC092803.2,NA,-0.0117
AC092803.3,NA,-0.0115
AC092803.4,2,-0.0113
MT1CP,3,-0.0117
AC007557.1,2,-0.0117
TBCAP1,2,-0.0113
TBCAP2,4,-0.0117
AC007557.2,4,-0.0117
TBCAP3,3,-0.0114
AC007557.3,2,-0.0117
AC007557.4,2,-0.0117
AC067969.1,2,-0.0117
AC067969.2,3,-0.0117
AC092803.1,2,-0.0112
PMM2P2,3,-0.0117
AF241728.1,2,-0.0117
AF241728.2,2,-0.0115
RNU6-660P,2,-0.0117
OR7E62P,2,-0.0117
AC005741.1,2,-0.0117
