"HGNC_Symbol","Cluster"
"AC010542.2",1
"AC010542.3",1
"ST3GAL3-AS1",1
"AC103794.1",1
"AC009061.1",1
"FIGNL2-DT",1
"AC009061.2",1
"RNU7-186P",1
"LINC00857",1
"LINC00858",1
"RN7SL268P",2
"LINC00853",1
"RNU6-359P",1
"ADAMTS7P1",1
"ADAMTS7P3",1
"AC008962.1",1
"ADAMTS7P4",1
"LINC00850",2
"LINC00851",1
"OR2H5P",1
"LINC00852",1
"RAB5IF",3
"AHSG",3
"RNU7-185P",1
"LINC00847",1
"RN7SL267P",1
"AC009947.3",1
"LINC00842",1
"AHRR",3
"RNU6-358P",1
"AC009947.1",1
"LINC00844",1
"AC009947.2",1
"LINC00845",1
"LINC00840",1
"LINC00841",1
"OR2H4P",1
"SNORD116-5",1
"SNORD116-6",2
"SNORD116-7",2
"AP006288.1",1
"LINC00880",1
"LINC00881",1
"SNORD116-8",2
"AL118558.3",1
"SNORD116-9",2
"PRDM8-AS1",1
"AL118558.4",1
"AC087565.1",1
"AC087565.2",1
"AL157893.1",1
"AL157893.2",1
"SNORD116-1",2
"SNORD116-2",1
"SNORD116-3",1
"SNORD116-4",2
"PPP1R2",3
"AC018629.1",2
"RN7SL266P",2
"LINC00879",1
"PPP1R7",3
"PPP1R8",3
"AHSP",3
"LINC00877",2
"AL118558.1",1
"AL118558.2",1
"LINC00871",1
"AC099568.1",1
"AC099568.2",1
"LINC00870",2
"WHRN",3
"AL356859.1",2
"AL354796.1",1
"AC080162.1",2
"LINC00868",1
"LINC00869",1
"RN7SL265P",2
"RNU7-183P",1
"AC002451.1",2
"LINC00865",1
"CPSF4L",1
"LINC00867",1
"LINC00861",2
"AC002451.2",2
"LINC00862",1
"LINC00863",1
"PIWIL2-DT",1
"AC093292.1",1
"PPP1CB",3
"PPP1CC",3
"RCBTB2P1",1
"AC078883.2",1
"AC133634.1",2
"HMCES",3
"AC078883.1",1
"RNU6-355P",1
"AL035090.1",1
"SSUH2",3
"AL596327.1",1
"MORF4L1",3
"RN7SL263P",2
"MORF4L2",3
"RNU6-354P",1
"C20orf96",2
"RN7SL262P",1
"ZKSCAN2-DT",1
"AC007490.1",1
"AL359845.1",2
"AC062037.2",1
"KRTCAP2P1",1
"AC062037.3",1
"AC062037.1",1
"OTOL1",3
"RN7SL261P",1
"THEM7P",1
"RNU6-356P",1
"AC139451.1",1
"RNU6-351P",1
"TPM3P1",2
"TPM3P4",1
"TPM3P2",1
"TPM3P3",2
"AC010198.1",1
"TPM3P8",1
"AC010198.2",1
"TPM3P9",2
"TPM3P6",2
"TPM3P7",2
"EXO5-DT",1
"Z93022.1",1
"RPL35AP9",1
"AL162458.1",1
"RPL35AP7",1
"RPL35AP8",1
"NOB1",3
"AL157413.1",1
"RPL35AP2",1
"RPL35AP5",1
"RPL35AP6",1
"RPL35AP3",2
"RN7SL260P",2
"RPL35AP4",1
"PLA2G12A",3
"PLA2G12B",3
"AC008379.1",1
"ARL2-SNX15",1
"AC012593.1",2
"AC012593.2",2
"NOA1",1
"LCORL",1
"AC007250.1",1
"AL354890.1",1
"FAM136BP",1
"AC004022.2",2
"IGKV1OR9-1",1
"NOD1",1
"AC004022.1",2
"NOD2",3
"IGKV1OR9-2",1
"NOCT",1
"RNU6-353P",1
"RNU6-352P",1
"AC080068.1",1
"AL096712.2",1
"AL096712.1",1
"OTOGL",3
"AC027307.3",1
"AC027307.1",1
"AC027307.2",1
"DRAXINP1",1
"AC084373.1",1
"RSC1A1",3
"KRTAP20-3",1
"KRTAP20-4",1
"RNU4-40P",1
"AP000320.1",1
"AC097512.1",1
"AC005580.1",1
"AC006328.1",1
"AC006328.2",1
"HMCN2",3
"FAM136DP",1
"AL132855.1",1
"AL353729.1",1
"HMCN1",3
"AL353729.2",1
"ARRDC4",3
"ARRDC5",3
"RNU4-41P",1
"ARRDC1",3
"ARRDC2",1
"ARRDC3",3
"CRNKL1",1
"WFDC21P",1
"AC124283.4",1
"AC124283.5",1
"AC124283.2",1
"AC124283.3",1
"RUBCNL",3
"FAM136CP",1
"KRTAP20-1",3
"KRTAP20-2",3
"AC008869.1",1
"AL583807.1",1
"AL157414.1",1
"FAM136FP",1
"AL157414.2",1
"AL157414.3",1
"AL157414.4",1
"AC068491.2",1
"AC106745.1",1
"AC244100.3",1
"AC244100.4",1
"AC244100.1",1
"AC244100.2",1
"FAM136EP",2
"AC097658.3",1
"AC097658.1",1
"AC097658.2",1
"AC122138.1",1
"RNU4-45P",1
"LRRCC1",2
"AC016813.1",1
"AC068491.1",1
"STRADA",3
"STRADB",3
"ZDHHC12",3
"AC005736.1",1
"ZDHHC13",2
"ZDHHC11",3
"RNASEK-C17orf49",1
"AL591767.2",1
"ZDHHC16",3
"ZDHHC17",2
"ZDHHC14",1
"AL591767.1",1
"ZDHHC15",3
"AC244090.1",2
"AC244090.2",2
"AC246787.1",1
"RNU4-46P",1
"AIDA",3
"AC246787.2",1
"U40455.1",1
"FYTTD1",3
"RNU4-42P",1
"ZDHHC20",2
"NOL7",3
"GDPD1",3
"ZDHHC23",3
"ZDHHC24",1
"GDPD2",3
"NOL8",3
"GDPD3",3
"PHKA1P1",1
"NOL9",1
"ZDHHC21",2
"GDPD4",3
"ZDHHC22",3
"AC025580.1",1
"NOL3",3
"GDPD5",2
"AIF1",3
"NOL4",3
"NOL6",3
"PPP2CA",3
"PPP2CB",3
"ZDHHC18",1
"ZDHHC19",3
"AC068647.1",1
"WIF1",3
"AC068647.2",1
"AC078882.1",1
"RNU4-43P",1
"B3GAT1-DT",1
"AP000560.1",1
"OTOP1",3
"OTOP2",3
"AIG1",1
"ANKRD34C-AS1",1
"OTOP3",3
"AC008629.1",1
"AC008629.2",1
"RNU4-44P",2
"AL355385.2",1
"AL513348.1",1
"AL355385.1",1
"AC008629.3",1
"TFPI2-DT",2
"NDUFA13",3
"NDUFA11",3
"NDUFA12",3
"NDUFA10",3
"ARHGDIG",3
"AC243654.2",1
"AC243654.3",1
"CNDP1",3
"AC243654.1",1
"CNDP2",3
"ARHGDIA",3
"AC104777.1",1
"ARHGDIB",3
"AC104777.2",1
"RNU4-49P",1
"NOM1",3
"MRPL32P1",1
"CDV3P1",1
"MRPL32P2",1
"GS1-600G8.3",1
"AC074338.1",1
"JCAD",3
"AC116099.1",1
"LMO7DN",1
"NOP2",3
"RNU7-188P",2
"NOP9",1
"LINC00839",1
"RANBP20P",1
"RANBP1P1",1
"AC068397.1",1
"AC068397.2",1
"LINC00836",1
"GABPB1-IT1",1
"LINC00837",1
"LINC00838",1
"RNU4-47P",1
"AC112721.2",1
"AC073114.2",2
"AC112721.1",1
"AC073114.1",2
"NONO",3
"RNU7-187P",1
"LINC00824",2
"AC005090.1",1
"C6orf47-AS1",1
"BRWD1",1
"RNU4-48P",1
"BRWD3",1
"Z95327.1",2
"Z95327.2",2
"SLC40A1",3
"AC092953.1",1
"AC092953.2",1
"AP001642.1",1
"AF254982.1",1
"NOS1",3
"ATP5F1EP1",1
"ATP5F1EP2",1
"AC127520.1",1
"MAPK1IP1L",3
"STIP1P3",2
"AC005100.1",1
"PRODH2",3
"AC005100.2",1
"AL356952.1",1
"GPR1-AS",1
"AIM2",3
"AC011525.1",1
"AC011525.2",1
"AKT1S1",3
"AC016074.1",2
"SCUBE1-AS2",2
"AC016074.2",2
"AC008723.1",1
"SCUBE1-AS1",2
"AC124283.1",1
"AL449283.1",1
"NOTO",1
"AC005486.1",2
"OPCML",3
"NOS2",3
"NOS3",3
"KANSL1",1
"SLFNL1",3
"KANSL2",3
"KANSL3",3
"VPS13A-AS1",1
"SNX6P1",1
"ATP5IF1",3
"SAMD14",3
"FAM91A3P",1
"SAMD15",3
"MPRIP",3
"BX248409.1",1
"AC098976.1",1
"AL118557.1",1
"SAMD12",3
"SAMD13",3
"SAMD10",3
"SAMD11",3
"EIF3FP1",1
"FLJ31356",1
"EIF3FP3",1
"ROCK1P1",1
"FAM91A2P",1
"ENTHD1",3
"MCM3AP-AS1",1
"AP001784.1",1
"AL160394.2",1
"AC009310.1",1
"AC009060.1",1
"PARPBP",1
"AL160394.1",1
"AC009060.2",1
"AIRE",3
"KLRK1",3
"GPIHBP1",3
"SDHCP2",1
"SDHCP3",1
"SDHCP1",1
"SDHCP4",1
"AL590290.1",2
"NOX3",3
"AC005094.1",1
"NOX4",3
"AC096531.1",1
"NOX5",3
"AIRN",1
"NOX1",3
"ATF7IP2",3
"DIS3L",3
"CDPF1P1",1
"SKAP1-AS1",1
"SKAP1-AS2",1
"RUNX3-AS1",1
"AC072039.1",1
"AC072039.2",1
"AL138878.1",1
"AL138878.2",1
"AC125611.1",1
"AC125611.2",1
"AC125611.3",1
"AC005104.1",1
"AC125611.4",1
"AC005104.2",1
"RN7SL279P",1
"ZNF603P",1
"C20orf181",1
"PROCA1",3
"AL359212.1",1
"ZNF602P",1
"RN7SL278P",1
"EVC2",3
"MIR600HG",1
"AL391099.1",1
"C20orf173",1
"SAMD4A",3
"LYRM9",2
"SAMD4B",3
"AL162311.1",1
"AL162311.2",1
"AL162311.3",1
"LYRM1",1
"LYRM2",3
"RN7SL277P",1
"LYRM4",3
"LYRM7",1
"MPLKIP",1
"HS6ST1P1",1
"MYLK2",3
"AC024595.1",1
"DEFB1",3
"AP000324.1",1
"MYLK3",3
"MYLK4",3
"AC099565.1",1
"RNU6-367P",1
"MYLIP",1
"AC138625.1",1
"AC138625.2",1
"AL161629.1",1
"RN7SL275P",1
"AC025580.2",1
"AC025580.3",1
"AL157904.1",1
"RNU6-366P",1
"MIA2-AS1",1
"AL162457.2",1
"NPAT",1
"DAAM2-AS1",2
"RN7SL274P",1
"CLTCL1",3
"SSXP9",1
"RNU6-369P",1
"AL096855.2",1
"EVI5",1
"AL583803.1",1
"AL162457.1",1
"AL096855.1",1
"SSXP1",1
"SSXP3",1
"DEFA6",3
"SSXP4",1
"SSXP5",1
"DEFA4",3
"DEFA5",3
"DEFA3",1
"DEFA1",1
"AL117332.1",1
"UQCRC2P1",1
"RN7SL273P",1
"SMARCA5-AS1",1
"TXNL1P1",1
"RNU6-368P",1
"RNU6-363P",1
"CELF1",3
"CELF2",3
"SCHIP1",3
"CELF3",3
"CELF4",3
"CELF5",3
"MCM10",1
"CELF6",3
"AC096677.1",1
"AC096677.2",1
"RN7SL272P",1
"AL359692.1",1
"AC096677.3",1
"AL662899.1",1
"AL662899.2",1
"RNU6-362P",1
"AC091874.1",1
"AC091874.2",1
"NUP50-DT",2
"AC131238.1",1
"NPC1",3
"NPC2",3
"ICA1-AS1",1
"RN7SL271P",2
"AC078788.2",1
"STAG3L5P",2
"AC078788.1",1
"TPM4P1",1
"AL161629.2",1
"AC073941.1",1
"AC073941.2",1
"AL031768.2",1
"AC068643.1",1
"AC068643.2",1
"AL031768.1",1
"AL357055.1",1
"AL357055.2",1
"RNU6-365P",1
"RN7SL270P",1
"PANDAR",1
"AC009800.1",2
"RNU6-364P",2
"AC116050.1",1
"ZDHHC5",3
"ZDHHC6",3
"AC063943.1",1
"ZDHHC7",3
"AC063943.2",1
"ZDHHC8",3
"ZDHHC1",1
"ZDHHC2",2
"ZDHHC3",3
"ZDHHC4",3
"GOLGA6L10",1
"AP000813.1",1
"NPFF",1
"AC131571.1",1
"AP003357.1",2
"SFRP4",3
"AC084768.1",1
"NEGR1-IT1",1
"SFRP1",3
"AC084768.2",1
"SFRP2",3
"SFRP5",3
"AC008628.2",1
"AC008628.1",1
"IGHV1OR21-1",1
"AC132219.2",2
"RNU6-361P",1
"AL031133.1",2
"OLA1P3",1
"EVPL",3
"OLA1P1",2
"OLA1P2",1
"NPLP1",1
"RBM12",3
"RIMKLA",3
"RIMKLB",1
"RBM10",3
"AC132219.1",2
"RBM11",3
"AC110813.1",1
"RNU6-360P",1
"AL445567.1",1
"C20orf27",1
"CELA1",3
"AC008378.1",1
"Z99289.1",2
"MYLPF",3
"Z99289.2",2
"Z99289.3",1
"GOLGA6L22",1
"AL122126.1",1
"CFAP44-AS1",1
"AL445567.2",1
"AC113554.1",1
"LHFPL3-AS2",2
"KRTAP21-4P",1
"AP000959.1",1
"AC078881.1",1
"DIRC1",1
"OR5M12P",1
"DIRC3",1
"AC136428.1",1
"AC136428.2",1
"AC136428.3",1
"AC136428.4",1
"CNEP1R1P1",2
"LHFPL3-AS1",2
"RNU4-10P",1
"OR5M13P",1
"SPINDOC",3
"DYNLT2B",3
"AC097515.1",1
"OR5M14P",1
"C20orf85",1
"AC027644.3",2
"NPM1",3
"NPM2",3
"AC027644.4",2
"SLCO5A1-AS1",2
"CAVIN1",3
"AP005264.6",1
"CAVIN2",3
"CAVIN3",3
"AP005264.4",1
"CAVIN4",3
"AP005264.5",1
"AC027644.1",2
"NPM3",3
"AC027644.2",2
"CABCOCO1",3
"PPP1CA",3
"CNIH3-AS2",1
"ZDHHC9",1
"AC037486.1",2
"CNIH3-AS1",1
"AP005264.2",1
"AC005833.1",1
"AP005264.3",1
"AC005833.2",1
"AP005264.1",1
"ENGASE",3
"PCDHB18P",1
"AC005343.7",1
"SAMD9L",3
"IFI44L",3
"AC005343.4",1
"NPPB",3
"NPPC",3
"AC109481.1",1
"NPPA",3
"RNU4-13P",1
"FO393400.1",1
"PCDHB17P",1
"ADPRHL1",3
"LOXL1-AS1",1
"THEMIS",3
"AP002373.1",1
"RPGRIP1L",1
"NPNT",3
"TFAMP1",1
"LITAFD",1
"AP002373.2",1
"CCR12P",1
"RNU4-14P",1
"AC114778.1",1
"C20orf144",1
"C20orf141",1
"KRTAP23-1",1
"RBM8A",3
"RBM8B",1
"NPR1",3
"NPR2",3
"NPR3",3
"AC021713.1",1
"RNPS1P1",1
"RNU4-11P",1
"MIR1233-1",1
"VARS2",3
"MIR1233-2",1
"VARS1",3
"PCDHB19P",1
"HMGA1",3
"HMGA2",3
"EVX1",3
"EVX2",3
"AJM1",1
"RNU4-12P",1
"AL078459.1",1
"RBM27",1
"PNLIPRP1",3
"RBM28",3
"PNLIPRP2",2
"RBM25",3
"CD164L2",3
"RBM26",3
"HMGB2",3
"HMGB3",3
"HMGB1",3
"HMGB4",3
"AC008868.1",1
"NPTN",3
"CD200R1L",3
"UQCRFS1",3
"RBM34",3
"RNU4-17P",1
"RBM33",2
"RBM17",3
"RBM14",3
"RBM15",1
"USP12-AS1",1
"RBM18",1
"RBM19",3
"RNU4-18P",1
"RBM20",1
"RBM23",3
"AC016229.2",1
"RBM24",3
"PNLIPRP3",3
"RBM22",3
"AC016229.1",1
"RBM47",3
"RBM48",1
"AL121872.1",2
"RBM4B",3
"AP003117.1",2
"AC092952.1",1
"HMGCR",3
"AP003117.2",2
"TFAMP2",1
"HMGCL",3
"RAB40A",3
"RAB40B",1
"RAB40C",1
"NPVF",3
"AL353726.1",1
"AL353726.2",1
"RNU4-15P",1
"RBM38",1
"RBM39",3
"AL160154.1",1
"GOLGA6L5P",1
"RBM41",1
"AC098487.1",1
"RBM42",3
"RBM45",1
"RBM46",3
"RNU4-16P",2
"RBM43",1
"RBM44",2
"IGHVIII-44",1
"EPB41L1-AS1",1
"AC130888.1",1
"AC132803.1",1
"RPL7AP71",1
"RPL7AP72",2
"AC011037.1",2
"RPL7AP73",1
"SDHDP1",1
"SDHDP2",2
"RPL7AP66",1
"SDHDP5",1
"SDHDP6",1
"SDHDP3",1
"SKP1P1",2
"RPL7AP69",1
"SDHDP4",1
"SKP1P2",1
"MIS18A-AS1",1
"SKP1P3",1
"RPL7AP60",1
"CREB3L2-AS1",2
"RPL7AP61",1
"RPL7AP64",1
"OR52E3P",1
"RPL7AP65",1
"EEF1DP5",2
"EEF1DP6",1
"EEF1DP3",1
"EEF1DP4",2
"EEF1DP1",1
"EEF1DP2",1
"AL627316.1",1
"HIPK1-AS1",1
"RPL7AP56",1
"RPL7AP57",1
"RPL7AP58",1
"AP000229.1",1
"AL118556.1",1
"SLC29A4P2",2
"AL118556.2",1
"SLC29A4P1",1
"RPL7AP50",1
"RPL7AP51",1
"RPL7AP52",1
"RPL7AP53",1
"F8A1",2
"F8A2",2
"F8A3",2
"RAB3IP",3
"AC125612.1",1
"RPL7AP49",1
"AC093300.1",1
"PCSK6-AS1",1
"RPL7AP33",1
"RPL7AP34",1
"AC092128.1",1
"RPL7AP38",1
"Z84466.1",1
"IGHVIII-82",1
"CEMP1",1
"RPL7AP30",1
"RPL7AP31",1
"MSTO2P",1
"TSPY4",2
"TSPY2",2
"TSPY3",1
"TSPY1",2
"RPL7AP22",1
"RPL7AP23",2
"RPL7AP25",1
"RPL7AP26",1
"RPL7AP28",1
"TSPY8",2
"COL21A1",2
"BAG1P1",1
"JDP2",3
"H2BW3P",2
"ASAH1",3
"ASAH2",3
"RPL7AP11",1
"PPP4R3B-DT",1
"RPL7AP14",1
"RPL7AP15",1
"AC013828.1",1
"AC018475.1",1
"RPL7AP10",1
"AC115220.1",2
"AC115220.2",1
"CLIP1-AS1",1
"AL138733.2",1
"AL138733.1",1
"RFWD3",3
"A4GNT",3
"AC138866.1",1
"GREB1L-DT",1
"B3GAT3P1",1
"AC105999.1",1
"BEST2",3
"BEST3",3
"BEST1",3
"AC138470.1",2
"AC138470.2",1
"OR6R1P",1
"BEST4",3
"RN7SL288P",1
"RNU6-379P",2
"MIR497HG",1
"AL162456.1",1
"PRRX2-AS1",1
"AL583804.1",1
"AC019064.1",2
"SPAG16-DT",1
"AP003692.1",2
"AC004264.1",2
"AC004264.2",1
"FBXL12P1",1
"DISP1",3
"DISP2",3
"DISP3",3
"AC009945.1",1
"RNU6-378P",1
"AL592114.1",1
"AL592114.2",1
"CEMIP",3
"AL592114.3",1
"SNRPBP1",2
"CT45A7",3
"CT45A8",3
"CT45A9",3
"EIF4E2P1",1
"CT45A3",3
"EIF4E2P2",1
"AC004024.1",1
"CT45A5",3
"AL157895.1",1
"CT45A6",3
"CYP4F22",3
"HSPA5-DT",1
"CT45A1",3
"CT45A2",3
"RN7SL286P",1
"TCP10L2",2
"AC000050.2",1
"TCP10L3",1
"WEE2-AS1",2
"CYP4F11",3
"CYP4F12",3
"AC131237.1",1
"AC027309.3",1
"AC027309.1",1
"AC027309.2",1
"RN7SL285P",2
"AL354794.1",1
"AC092368.1",1
"AL354794.2",1
"AC092368.2",1
"AC092368.3",1
"AC093206.1",1
"AC079080.1",1
"AC139453.1",2
"AC139453.2",2
"AC112230.1",1
"ASB16-AS1",1
"RN7SL284P",1
"AC106017.1",1
"AC106017.2",1
"AL031767.1",1
"KANK1P1",1
"AL031767.2",1
"CNGA1",3
"CNGA2",3
"CNGA3",3
"CNGA4",3
"RNU6-375P",2
"RNU6-374P",1
"AC020636.1",1
"AC020636.2",1
"AP000563.1",1
"BET1L",3
"RN7SL283P",1
"BAGE2",1
"AL008633.1",2
"CNGB3",3
"CNGB1",3
"AC098831.1",1
"SAA2-SAA4",1
"AC005009.1",2
"RNU6-377P",1
"IGHV5-10-1",1
"RN7SL282P",1
"THAP12P8",1
"THAP12P9",1
"RPH3AL",3
"KCNJ10",3
"THAP12P4",1
"KCNJ11",3
"KCNIP1",3
"KCNIP2",3
"KCNJ12",3
"THAP12P5",1
"KCNJ13",3
"THAP12P6",1
"KCNIP3",1
"THAP12P7",2
"KCNIP4",3
"KCNJ14",3
"KCNJ15",3
"KCNJ16",3
"THAP12P1",2
"THAP12P2",2
"THAP12P3",1
"AL512366.1",1
"KCNJ18",1
"AL161628.1",1
"OR6R2P",1
"RNU6-376P",1
"RNU6-371P",1
"PDE9A-AS1",1
"AL121873.1",2
"AC016717.1",1
"AL139811.1",1
"DNAJB1P1",1
"AC016717.2",1
"AC016717.3",1
"PARTICL",1
"RN7SL280P",2
"FAAP100",3
"RNU6-370P",1
"AC037487.3",1
"AC246785.1",1
"AC037487.4",1
"AC246785.2",1
"AC037487.1",1
"AC037487.2",1
"AC246785.3",1
"AC005832.1",1
"AC005832.2",1
"AP005899.1",1
"AC005832.3",1
"AP005263.1",1
"AC005832.4",1
"AP005899.2",1
"AC246785.4",1
"SSX4B",1
"RNU6-373P",1
"CYP4F9P",1
"HEPACAM",3
"RPL15P18",1
"SETD4-AS1",1
"RPL15P13",1
"RPL15P14",1
"RPL15P20",1
"RPL15P21",1
"AC078880.5",1
"AC078880.1",1
"MYL10",3
"AC078880.2",1
"AC078880.3",1
"AC078880.4",1
"AP000812.1",1
"AP000812.2",1
"AP000812.3",1
"AP000812.4",1
"RABGAP1L",1
"AC006076.1",1
"RAB39A",3
"RAB39B",3
"SSX6P",2
"PARP16",1
"PARP14",2
"PARP15",3
"PARP12",2
"PARP10",2
"PARP11",3
"NCEH1",3
"AC092617.1",1
"AP001057.1",1
"AL389915.1",1
"AC008627.1",1
"AC145207.9",1
"AL391839.1",1
"AL391839.2",1
"AL391839.3",1
"AC145207.5",1
"RNU4-20P",1
"AC145207.6",1
"AC090796.1",2
"AC145207.7",1
"AC145207.8",1
"MYL6B",3
"AL355143.1",2
"WBP1LP8",1
"AC012355.1",1
"WBP1LP4",1
"AC145207.1",1
"WBP1LP5",1
"AC145207.2",1
"AC145207.3",1
"WBP1LP6",1
"RNU4-21P",1
"WBP1LP7",1
"AC145207.4",1
"WBP1LP1",2
"WBP1LP2",2
"WBP1LP3",1
"AC111152.1",2
"AC111152.2",2
"RAB33A",3
"RAB33B",1
"AC016957.1",1
"AC016957.2",1
"RNU4-22P",1
"AL358134.1",1
"PDGFRL2P",1
"IGHVII-40-1",1
"AC063944.2",1
"AC063944.1",1
"COSMOC",1
"AL583805.2",1
"DISC1",3
"AAMDC",3
"AL583805.1",1
"AC093787.2",1
"AL691515.1",1
"NQO1",3
"NQO2",3
"AL691515.2",1
"AC093787.1",1
"AL161722.1",1
"AL161722.2",1
"SSX2B",1
"AC084277.1",1
"ERG28",3
"AC006566.1",1
"AC006566.2",1
"HDLBP",3
"CHCHD4",3
"CHCHD5",3
"RRAGC-DT",1
"TMEM184CP1",2
"CHCHD2",3
"CHCHD3",3
"CHCHD6",3
"CHCHD7",3
"AC124045.1",1
"CHCHD1",3
"RNU4-25P",2
"CD300A",3
"RPL39P38",1
"RPL39P39",1
"AC005102.1",2
"RPL39P40",1
"EPS15P1",1
"KLRF1",3
"KLRF2",1
"CD300E",3
"CD300C",3
"CD300H",1
"RNU4-26P",1
"AKNA",1
"KLRB1",3
"CTTNBP2",3
"NCF1B",2
"NCF1C",2
"BMI1P1",2
"VTI1BP2",1
"VTI1BP3",1
"VTI1BP1",1
"FO393401.1",1
"RNU4-23P",1
"KLRC1",3
"AC011767.1",1
"AC083939.1",2
"OR2E1P",1
"AL034417.2",1
"KLRC2",3
"AC011131.1",2
"KLRC3",3
"AL034417.3",1
"KLRC4",3
"AL034417.4",1
"DSCR10",1
"VTI1BP4",1
"AL034417.1",1
"AC138230.1",1
"AL049825.1",1
"RFXAP",1
"COL20A1",3
"RNU4-24P",1
"KLRD1",3
"AL163534.1",1
"KRTAP22-1",3
"KRTAP22-2",1
"PBX3-DT",1
"RPL39P14",1
"RNU4-29P",1
"SSX9P",1
"AC006326.1",2
"MRPL30P1",2
"SSX8P",1
"AC117522.2",1
"AC117522.3",1
"AC117522.1",1
"AC040970.1",2
"AC091144.1",1
"AC091144.2",1
"AL135844.1",1
"OR52E7P",1
"CD163L1",3
"AC005342.2",1
"RBAKDN",1
"AC005342.1",1
"HNF4A-AS1",1
"RPL39P26",1
"RPL39P28",1
"RPL39P29",1
"RPL39P33",1
"RPL39P34",2
"RPL39P36",2
"RPL39P31",1
"KLRG2",3
"STRCP1",1
"RNU4-27P",1
"KLRG1",3
"RASGRF2-AS1",1
"RPL39P15",1
"RPL39P16",1
"RPL39P18",1
"AC073210.3",1
"RPL39P25",1
"AC073210.1",2
"AC073210.2",2
"TBKBP1",1
"RNU4-28P",1
"LINC00540",1
"CR392000.1",1
"CR392000.2",1
"FLJ31104",1
"SLC25A30-AS1",1
"LINC00538",1
"LINC00539",1
"AC103705.1",2
"AKT2",3
"AKT3",3
"AP001542.1",1
"LINC00534",2
"AKT1",3
"AL118511.1",1
"AP001542.2",1
"LINC00536",2
"AP001542.3",1
"RNU6-303P",1
"AL118511.4",1
"AL118511.2",1
"LINC00533",1
"AL118511.3",1
"KRTDAP",3
"RUNX2-AS1",1
"TSTD3",3
"TSTD1",1
"TSTD2",1
"AC004415.1",1
"RN7SL211P",1
"LINC00528",2
"LINC00529",1
"AL359508.1",1
"LINC00523",1
"MAFTRR",1
"LINC00524",1
"LINC00525",1
"LINC00526",1
"RNU6-302P",1
"LINC00520",1
"SKAP1",3
"SKAP2",3
"EXD1",3
"LINC00560",1
"EXD2",3
"EXD3",1
"LINC00561",1
"LINC00562",1
"CRABP2",3
"CRABP1",3
"AC092073.1",1
"RN7SL210P",1
"LINC00556",1
"LINC00557",1
"LINC00558",1
"LINC00559",1
"LINC00552",1
"LINC00554",1
"LINC00555",1
"AC114928.1",1
"AL163636.1",1
"LINC00550",1
"LINC00551",1
"AF287957.1",1
"LINC00545",1
"AC096577.1",1
"RNU6-304P",1
"AC096577.2",1
"LINC00547",1
"AC026421.1",1
"LINC00543",1
"LINC00544",1
"SFTA2",3
"ARHGAP9",3
"SFTA3",1
"ARHGAP8",3
"ARHGAP1",3
"ARHGAP5",3
"ARHGAP6",3
"ARHGAP4",3
"AC121251.1",1
"AC067959.1",1
"NRXN2-AS1",1
"AC024603.1",1
"NR2F1-AS1",1
"WNT9B",3
"SYS1-DBNDD2",1
"WNT9A",3
"AC022540.1",1
"AC098484.1",1
"AC098484.2",1
"AC011374.2",1
"AC098484.3",1
"AC011374.3",1
"AC098484.4",1
"PPARG",3
"AC011374.1",1
"PPARA",2
"AC013437.1",1
"PPARD",3
"KRTAP25-1",1
"AC022206.1",1
"WNT8A",3
"WNT8B",3
"SOS1-IT1",1
"CENPA",3
"CENPB",3
"AC137549.1",1
"CENPC",2
"NRAS",3
"EXOSC10",3
"AL591135.1",1
"AL359258.3",1
"AL591135.2",1
"LINC00517",1
"LINC00518",1
"AL359258.1",1
"NRAP",3
"AL359258.2",1
"LINC00519",1
"DNAJB6P3",1
"DNAJB6P4",1
"LINC00513",2
"DNAJB6P1",1
"DNAJB6P2",1
"RNU6-301P",1
"DNAJB6P7",1
"DNAJB6P8",1
"AC022196.1",1
"NRAV",1
"DNAJB6P5",1
"LINC00511",1
"DNAJB6P6",1
"CENPT",3
"CENPU",3
"CENPV",3
"CENPW",3
"PNRC1-DT",1
"CENPX",3
"WNT7B",2
"COL22A1",3
"WNT7A",3
"CENPE",1
"CENPF",3
"MXRA7P1",1
"CENPH",3
"LINC00506",2
"CENPI",1
"LINC00507",1
"RBM12B-AS1",2
"CENPJ",1
"LINC00508",1
"CENPK",3
"CENPL",3
"LINC00501",1
"CENPM",3
"ADGRL1",1
"LINC00502",1
"CENPN",3
"LINC00504",1
"CENPO",3
"CENPP",1
"ADGRL4",3
"RNU6-300P",1
"CENPQ",1
"ADGRL2",3
"LINC00500",1
"CENPS",3
"ADGRL3",3
"PAEPP1",1
"MEAF6P1",1
"FP236383.10",1
"FP236383.11",1
"PRPF19P1",1
"FP236383.12",1
"FP236383.13",1
"DNAH10OS",1
"AP001052.1",1
"AC105362.1",1
"MLIP-IT1",2
"AC116345.4",1
"AC116345.2",1
"AC116345.3",1
"AC116345.1",1
"BOD1L1",2
"NRF1",1
"NREP",3
"AL031864.1",1
"AL031864.2",1
"AL162411.1",2
"AC009704.1",1
"HNRNPDL",3
"AC007547.1",1
"G3BP1",3
"AC007547.2",1
"G3BP2",3
"AC009704.2",1
"AL161729.1",1
"AC009704.3",1
"AL161729.2",1
"AL161729.3",1
"AL161729.4",1
"AL391097.2",1
"AL391097.3",1
"AL391097.1",1
"NRDC",3
"AC007391.2",1
"AC007391.3",1
"AC007391.1",2
