HGNC_Symbol,log2R_CNA,Z_Score
RN7SL684P,3,-0.0089
DIP2A,3,-0.0034
DIP2B,3,0.0089
DIP2C,2,0.0073
AL137790.2,3,-0.0089
AP001347.1,4,-0.0085
AP001347.2,4,-0.0090
AL137790.1,3,-0.0090
RN7SKP3,2,-0.0090
RN7SKP4,2,-0.0086
DYNC1LI1,4,0.0025
RN7SKP1,2,-0.0089
DYNC1LI2,3,0.0272
AL133342.1,4,-0.0088
RN7SKP2,2,-0.0090
IGLVI-42,5,-0.0090
ANOS1,2,-0.0088
RN7SKP9,2,0.0262
RN7SL683P,4,-0.0079
RN7SKP7,2,-0.0090
RN7SKP8,2,-0.0090
RN7SKP5,2,-0.0089
RNU6-774P,3,-0.0090
RN7SKP6,2,-0.0090
AC073352.1,5,-0.0087
SYCP2L,5,-0.0087
SNRPFP1,4,-0.0089
AC073352.2,5,-0.0090
SNRPFP2,6,-0.0089
AC073508.1,4,-0.0090
ERP29P1,4,-0.0089
AC073508.2,4,-0.0090
IGLVI-56,5,-0.0090
AC092818.1,3,-0.0089
SNRPFP3,2,-0.0090
SNRPFP4,4,-0.0087
RNU6-777P,6,-0.0090
KPNA4P1,2,-0.0090
AC073508.3,4,-0.0088
AL356123.1,NA,-0.0090
AL356123.2,2,-0.0090
RBPMS2P1,3,-0.0089
IGLVI-68,5,-0.0089
VWA8-AS1,2,-0.0090
IGLVI-63,5,-0.0090
RNU6-776P,6,-0.0090
AC003965.1,3,-0.0086
RN7SL681P,3,-0.0088
AC003965.2,3,-0.0089
NCOR1P1,4,-0.0090
NCOR1P2,3,-0.0090
NCOR1P3,2,-0.0090
AC104383.1,2,-0.0090
NCOR1P4,4,-0.0090
AP001107.2,2,-0.0090
AP001107.3,2,-0.0088
KDM5C-IT1,2,-0.0084
AP001107.1,2,-0.0088
AP001107.6,2,-0.0086
AP001107.7,2,-0.0089
AP001107.4,2,-0.0078
AP001107.5,2,-0.0090
C17orf58,4,-0.0029
C17orf50,2,-0.0090
RNU6-771P,6,-0.0090
RN7SL680P,4,0.0113
AC073592.4,3,-0.0090
HELZ-AS1,4,-0.0088
AC073592.5,3,-0.0080
AC073592.2,3,-0.0090
RNU6-770P,2,-0.0090
AC073592.3,3,-0.0087
AC073592.8,3,-0.0090
AC073592.9,3,-0.0086
AC073592.6,3,-0.0076
TTC3P1,2,-0.0059
AC073592.7,3,-0.0081
AL121672.2,10,-0.0044
AL121672.3,10,-0.0078
RPL19P11,3,-0.0090
RPL19P13,3,-0.0090
AC073592.1,3,-0.0074
RPL19P14,3,-0.0089
RPL19P16,2,-0.0086
BACE1,2,-0.0047
IGLV3-13,5,-0.0090
BACE2,3,0.0087
AP001107.8,2,-0.0086
IGLV3-15,5,-0.0090
C17orf49,3,-0.0088
IGLV3-16,5,-0.0090
AP001107.9,2,-0.0081
IGLV3-10,5,-0.0090
RN7SL4P,5,0.9211
IGLV3-12,5,-0.0090
AL121672.1,10,-0.0045
IGLV3-17,5,-0.0090
AC026468.1,3,-0.0088
IGLV3-19,5,-0.0090
PHLPP2,3,-0.0063
PHLPP1,3,-0.0047
TTC41P,3,-0.0089
RPL19P20,2,-0.0090
RPL19P21,2,-0.0089
RN7SL5P,2,0.2156
IGLV3-30,5,-0.0090
IGLV3-24,5,-0.0090
IGLV3-25,5,-0.0090
RPL19P18,3,-0.0090
IGLV3-26,5,-0.0090
IGLV3-27,5,-0.0090
C17orf75,2,-0.0059
IGLV3-21,5,-0.0090
AP000852.1,2,-0.0090
IGLV3-22,5,-0.0090
OR2AG1,2,-0.0089
AC114971.1,NA,-0.0090
C17orf78,4,-0.0088
OR2AG2,2,-0.0089
AC108064.1,3,-0.0090
IGLV3-29,5,-0.0090
AC092422.1,5,-0.0088
SEPTIN1,2,-0.0086
SEPTIN2,3,0.0653
SEPTIN5,7,-0.0088
SEPTIN6,2,-0.0027
SEPTIN3,1,-0.0090
SEPTIN4,4,-0.0084
SEPTIN9,4,0.0502
SEPTIN7,2,0.0048
SEPTIN8,3,0.0084
RYBP,4,0.0049
FAM3C2P,2,-0.0039
IGLVI-20,5,-0.0090
IGLV3-31,5,-0.0090
C17orf64,4,-0.0090
IGLV3-32,5,-0.0090
C17orf67,4,-0.0086
AC103796.1,2,-0.0090
RNU6-772P,4,-0.0090
AC010196.1,4,-0.0090
RN7SL7P,2,0.0014
C17orf97,3,-0.0086
C17orf98,4,-0.0090
C17orf99,4,-0.0090
AC110275.1,3,-0.0090
AC106742.1,3,-0.0090
AC012507.1,3,-0.0090
AC012507.2,3,-0.0090
AC012507.3,3,-0.0090
AL359397.1,4,-0.0087
AL359397.2,4,-0.0090
PDE4B-AS1,3,-0.0089
ZBED3-AS1,3,-0.0089
AL049775.3,4,-0.0090
RN7SL8P,2,-0.0052
MIR5583-1,3,-0.0090
AL049775.1,4,-0.0090
MIR5583-2,3,-0.0090
AL049775.2,4,-0.0089
AC008760.1,2,-0.0086
AC008760.2,2,-0.0090
C17orf80,4,0.0000
AL161672.1,6,-0.0074
OR2A9P,2,-0.0090
RASAL1,3,-0.0090
RASAL2,3,0.0009
AL022312.1,3,-0.0090
RASAL3,7,-0.0016
AL354696.1,2,-0.0086
WFS1,3,0.0105
SCCPDH,3,0.0299
ESAM,2,-0.0085
AL354696.2,2,-0.0088
MAP2K5-DT,4,-0.0082
RNU4-60P,7,-0.0089
RNPEPL1,3,-0.0009
Y_RNA,4,-0.0090
VDAC1P3,2,-0.0089
VDAC1P4,3,-0.0087
UBE2V2P1,2,-0.0090
VDAC1P5,3,-0.0090
VDAC1P6,1,-0.0089
VDAC1P1,2,-0.0072
AL357835.1,6,-0.0090
VDAC1P2,2,-0.0087
VDAC1P7,5,-0.0090
UBE2V2P4,6,-0.0075
VDAC1P8,2,-0.0084
UBE2V2P2,4,-0.0088
VDAC1P9,3,-0.0090
UBE2V2P3,6,-0.0083
AL137060.4,2,-0.0090
AL137060.5,2,-0.0090
AL137060.2,2,-0.0090
AL137060.3,2,-0.0088
AL137060.1,2,-0.0090
RNU4-61P,5,-0.0082
AC090517.4,4,-0.0090
AC090517.5,4,-0.0084
RTN4RL2,2,-0.0089
RNU6-1340P,3,-0.0090
AL137060.8,2,-0.0090
TBX18-AS1,2,-0.0089
AC090517.1,4,-0.0090
AL137060.9,2,-0.0090
AC090517.2,4,-0.0083
AL137060.6,2,-0.0090
AL137060.7,2,-0.0090
AC090517.3,4,-0.0090
AC009495.3,3,-0.0089
AC009495.1,3,-0.0089
AC009495.2,3,-0.0086
RTN4RL1,3,-0.0087
RPL37A,3,0.1050
UNC93B4,3,-0.0090
UNC93B5,2,-0.0090
UNC93B2,2,-0.0088
AL118516.1,7,0.0085
UNC93B3,5,-0.0088
SFTPA2,2,-0.0090
IL12A-AS1,5,-0.0090
UNC93B1,2,-0.0013
RPL36A,2,-0.0071
UNC93B8,3,-0.0090
UNC93B6,2,-0.0090
UNC93B7,3,-0.0090
KRTAP2-5P,4,-0.0090
AC005632.1,2,-0.0090
AC005632.2,2,-0.0090
AC005632.3,2,-0.0083
AC005632.4,2,-0.0090
MIR3677HG,3,-0.0076
AC005632.5,2,-0.0090
AC005632.6,2,-0.0075
AC073842.2,2,-0.0082
RPL35A,4,0.1292
AL033539.2,NA,-0.0090
AP003398.1,2,-0.0090
AP003398.2,NA,-0.0090
AL033539.1,3,-0.0090
LARGE-IT1,3,-0.0086
CROCC,6,0.0001
ESF1,4,0.0109
SFTPA1,2,-0.0090
AC073842.1,2,-0.0089
AC009505.1,3,-0.0088
RNU4-64P,3,-0.0090
OR2A3P,2,-0.0090
RNU6-1331P,3,-0.0088
SOGA3,2,-0.0090
AC025244.1,3,-0.0090
AC025244.2,3,-0.0090
SOGA1,4,0.0004
ACTG1P2,1,-0.0090
ACTG1P3,4,-0.0080
ACTG1P1,5,-0.0085
RNU6-1332P,4,-0.0090
OR2A42,2,-0.0089
RNU4-65P,4,-0.0090
PTGDS,2,-0.0082
PTGDR,4,-0.0090
LMAN1L,4,-0.0090
AC080023.1,2,-0.0087
AC080023.2,2,-0.0080
ACTG1P4,4,-0.0090
AL590408.1,3,-0.0090
AC018765.1,3,-0.0090
ACTG1P9,3,-0.0089
AC011523.1,2,-0.0090
NGFR-AS1,4,-0.0080
RNU6-1333P,3,-0.0086
RNU4-66P,5,-0.0090
BTF3-DT,3,-0.0082
AC005288.1,4,-0.0087
LLGL1,3,0.0007
PTGES,2,-0.0008
LLGL2,4,-0.0082
USP21P1,3,-0.0090
PTGFR,4,0.0030
USP21P2,3,-0.0090
LMAN2L,3,0.0083
RNU4-62P,4,-0.0090
MGST3,3,0.0008
AC024598.1,2,-0.0090
MGST1,4,-0.0080
MGST2,3,-0.0061
NMD3,5,0.0235
LCN15,2,-0.0090
LCN12,2,-0.0090
LCN10,2,-0.0090
NTSR1,4,-0.0090
OR2A25,2,-0.0090
NTSR2,3,-0.0090
RPL39L,4,0.0095
FMO9P,3,-0.0090
RPL39P,4,-0.0090
RNU4-63P,3,-0.0087
RNU6-1330P,3,-0.0090
NMBR,2,-0.0089
SERPINH1P1,2,-0.0088
MIR7706,4,-0.0090
MIR7704,3,-0.0090
MIR7705,3,-0.0090
MIR7702,2,-0.0090
MIR7703,4,-0.0090
OR2A12,2,-0.0090
AL121579.2,4,-0.0090
FMO8P,3,-0.0090
AL121579.1,4,-0.0090
OR2A14,2,-0.0090
AL445074.1,4,-0.0090
RYR1,2,-0.0089
RYR2,3,-0.0090
SULT1C2P1,3,-0.0090
AC084375.1,3,-0.0090
FUCA1P1,3,-0.0089
SULT1C2P2,3,-0.0090
RYR3,4,-0.0088
ESM1,4,-0.0070
ZMYM1,6,0.0042
ZMYM2,2,0.0023
RNU6-1336P,3,-0.0090
ZMYM3,2,0.0089
ZMYM4,6,0.0192
ZMYM5,2,-0.0018
ZMYM6,6,-0.0067
AL136961.1,NA,-0.0090
FMO7P,3,-0.0090
RNU4-69P,4,-0.0090
AC234782.2,2,-0.0090
AC093010.1,5,-0.0090
AC093010.2,5,-0.0090
AC234782.1,2,-0.0083
NME2,4,-0.0083
NME3,3,0.0123
NME4,3,0.0053
NME5,3,-0.0083
NME1,4,-0.0023
AC007349.1,2,-0.0090
RNU6-1337P,2,-0.0081
AC007349.2,2,-0.0090
NME6,4,-0.0044
NME7,3,-0.0065
NME8,2,-0.0090
NME9,5,-0.0084
FIBIN,2,-0.0085
DNASE1L2,3,-0.0085
FMO6P,3,-0.0090
AC007349.3,2,-0.0090
DNASE1L3,4,-0.0090
AC007349.4,2,-0.0090
DNASE1L1,2,-0.0049
AC007193.2,2,-0.0090
AC007193.3,2,-0.0090
AC007193.1,2,-0.0090
AC005538.3,3,-0.0090
AC005538.1,3,-0.0089
NPAP1L,3,-0.0090
AC005538.2,3,-0.0090
FP236383.9,NA,-0.0090
ATP5F1A,3,0.0331
FP236383.7,NA,-0.0090
FP236383.8,NA,-0.0090
ATP5F1B,3,0.2664
FP236383.5,2,-0.0084
FP236383.6,NA,-0.0090
RNU6-1334P,NA,-0.0090
FP236383.3,2,-0.0090
FP236383.4,2,-0.0090
BX323043.1,NA,-0.0075
FP236383.1,2,-0.0090
RNU4-67P,4,-0.0090
FP236383.2,2,-0.0090
LCMT2,4,-0.0050
LY6G6C,3,-0.0090
LY6G6D,3,-0.0090
AC106743.1,3,-0.0089
AL162417.1,2,-0.0090
LCMT1,2,-0.0053
LY6G6E,3,-0.0090
LY6G6F,3,-0.0090
AL592064.1,6,-0.0085
AL592064.2,6,-0.0090
ERBIN,4,0.0273
ATP5F1C,2,0.0406
ATP5F1D,2,-0.0013
ATP5F1E,4,0.0294
AC244102.1,2,-0.0090
RNU6-1335P,2,-0.0090
LRRC57P1,1,-0.0090
AC244102.2,2,-0.0090
RNU4-68P,4,-0.0075
AC244102.3,NA,-0.0090
LY6G5B,3,-0.0084
AC244102.4,2,-0.0047
LY6G5C,3,-0.0087
AC104633.1,NA,-0.0089
AC104633.2,NA,-0.0090
ESPN,6,-0.0079
AC092078.2,4,-0.0090
PPM1AP1,3,-0.0087
AC092078.3,4,-0.0090
AC092078.1,4,-0.0090
AL096816.1,2,-0.0090
AC091834.1,4,-0.0090
RN7SL679P,6,0.0039
MYH15,5,-0.0082
MYH16,2,-0.0089
AC079766.1,3,-0.0088
KCTD1,3,-0.0065
KCTD2,4,0.0016
KCTD3,3,0.0103
KCTD4,2,-0.0085
KCTD5,3,0.0043
KCTD6,4,-0.0052
KCTD7,2,-0.0057
KCTD8,3,-0.0089
SLC17A6-DT,2,-0.0090
AC093156.1,3,-0.0090
KCTD9,3,0.0055
SHC1P1,2,-0.0090
SHC1P2,4,-0.0090
ESRG,4,-0.0090
RN7SL678P,4,0.0372
AL513190.1,2,-0.0087
MIR217HG,3,-0.0090
CSF2RB,7,-0.0080
ESS2,7,-0.0003
AGER,3,-0.0071
CSF2RA,NA,-0.0090
RNU6-1338P,3,-0.0090
MYH13,3,-0.0090
MYH14,2,-0.0061
MYH11,3,-0.0088
AL590502.1,2,-0.0090
MYH10,3,0.0183
AP003501.1,2,-0.0090
AC007683.3,2,-0.0090
AP003501.2,2,-0.0090
PSAPL1,3,-0.0089
RN7SL677P,4,-0.0045
AC069272.1,3,-0.0089
AC130448.1,2,-0.0090
ESR1,2,-0.0089
ESR2,4,-0.0089
RNU6-1339P,4,-0.0090
AC130448.2,2,-0.0090
AL138773.1,NA,-0.0090
AC004554.1,2,-0.0090
AL023775.1,2,-0.0090
AL023775.2,2,-0.0090
SNRPGP1,4,-0.0090
AL450423.1,2,-0.0090
AL450423.2,NA,-0.0090
SUGCT-AS1,2,-0.0088
UMODL1-AS1,3,-0.0090
SNRPGP2,3,-0.0021
AC104779.1,3,-0.0088
PKMP1,3,-0.0085
SNRPGP3,2,-0.0087
SNRPGP4,4,-0.0061
RNU6-767P,3,-0.0086
IGLVI-70,5,-0.0090
SNRPGP5,2,-0.0081
PKMP4,3,-0.0085
SNRPGP6,2,-0.0090
PKMP5,5,-0.0089
SNRPGP7,3,-0.0090
PKMP2,2,-0.0089
SNRPGP8,3,-0.0090
SNRPGP9,3,-0.0087
AC007683.1,2,-0.0085
PKMP3,2,-0.0090
PTGIR,2,-0.0071
RASA4B,2,-0.0089
PTGIS,4,0.0036
LMNTD1,4,-0.0090
LMNTD2,2,-0.0088
AC022400.4,2,-0.0082
AC022400.5,2,-0.0090
AC022400.6,2,-0.0054
AC138430.1,5,-0.0090
AC138430.2,5,-0.0090
AC022400.7,2,-0.0090
AL121829.2,4,-0.0089
AC022400.1,2,-0.0085
AC022400.2,2,-0.0084
AC022400.3,2,-0.0082
AL121829.1,4,-0.0090
AL163974.1,4,-0.0090
AC022400.8,2,-0.0090
AC107081.3,3,-0.0076
RN7SL675P,3,-0.0046
AC107081.1,3,-0.0077
AC107081.2,3,-0.0090
RNU6-766P,3,-0.0090
MIR1-1HG,4,-0.0090
AL359741.1,2,-0.0090
AL590648.1,3,-0.0090
NCALD,3,-0.0088
AL590648.2,3,-0.0090
RNU6-769P,3,-0.0086
ERBB3,3,0.0413
ERBB4,3,-0.0088
MLANA,2,-0.0087
ERBB2,4,0.0093
RN7SL674P,3,0.1566
ROMO1,4,0.0813
NCAM1,2,-0.0064
AL583809.1,NA,-0.0090
NCAM2,4,-0.0089
RACK1P2,3,-0.0090
RACK1P3,3,-0.0090
MIR218-1,3,-0.0090
DINOL,4,-0.0090
RACK1P1,4,-0.0088
MIR218-2,3,-0.0084
FMNL3,3,-0.0002
MFF-DT,3,-0.0088
FMNL1,4,-0.0047
FMNL2,3,0.0013
RNU6-768P,3,-0.0090
RNASEH2B-AS1,2,-0.0087
TTC39CP1,3,-0.0090
RN7SL673P,4,-0.0090
AC243994.1,4,-0.0090
AC096675.1,3,-0.0090
AL390856.1,3,-0.0090
AC005008.1,2,-0.0090
RNU7-194P,3,-0.0083
AC005008.2,2,-0.0090
AC022784.3,3,-0.0090
AC022784.4,3,-0.0090
AC022784.1,3,-0.0090
ERBIN-DT,4,-0.0083
AC022784.2,3,-0.0089
AC024941.2,4,-0.0088
AC108067.1,3,-0.0089
ALOX15P1,3,-0.0089
ALOX15P2,2,-0.0090
AC022784.5,3,-0.0084
AC022784.6,3,-0.0089
AC024941.1,4,-0.0090
ESX1,2,-0.0090
RN7SL259P,2,-0.0086
AC125613.1,5,-0.0090
AC125613.2,5,-0.0090
CTDSPL2-DT,4,-0.0084
AC067817.1,3,-0.0074
AC067817.2,3,-0.0081
RNU7-193P,3,-0.0087
AL590302.1,2,-0.0090
AC135050.4,2,-0.0086
AC135050.5,2,-0.0073
AC135050.6,2,-0.0039
AC135050.7,2,-0.0088
MPPE1,3,-0.0054
AL590302.2,2,-0.0090
IGHJ1P,4,-0.0090
LYPD1,3,-0.0068
LYPD2,3,-0.0090
RN7SL258P,4,-0.0072
LYPD3,11,-0.0061
LYPD4,5,-0.0090
LYPD5,7,-0.0055
LYPD6,3,-0.0039
LYPD8,3,-0.0090
DEDD2,5,0.0041
RNU7-192P,3,-0.0090
PRAMEF36P,6,-0.0090
AC004899.2,2,-0.0090
AGMO,2,-0.0090
AC004899.1,2,-0.0090
AC133539.1,3,-0.0089
JAG2,4,-0.0086
IGHJ2P,4,-0.0090
JAG1,4,0.0077
AL136181.1,2,-0.0090
CADM2-AS1,5,-0.0090
CADM2-AS2,5,-0.0090
AC020637.1,4,-0.0090
AGO3,6,-0.0006
AGO4,6,0.0001
AGO1,6,0.0076
ZNF705CP,3,-0.0090
AGO2,3,0.0014
NMT1,4,0.0228
NMT2,2,-0.0023
AP006287.1,2,-0.0089
AP006287.2,2,-0.0088
AP006287.3,2,-0.0090
BX571673.1,3,-0.0090
AL451054.4,3,-0.0089
EVPLL,3,-0.0090
FAR1-IT1,2,-0.0080
AC018628.1,4,-0.0078
AC018628.2,4,-0.0082
AL451054.1,3,-0.0090
AL451054.2,3,-0.0090
AL451054.3,3,-0.0090
LINC00974,6,-0.0090
AC099567.1,4,-0.0090
RNU6-347P,4,-0.0090
LINC00970,3,-0.0090
JAK2,2,-0.0062
JAK3,3,-0.0079
LINC00971,5,-0.0090
LINC00972,2,-0.0090
JAK1,3,0.0154
LINC00973,5,-0.0068
CRPPA,2,-0.0085
AP001880.1,2,-0.0090
AP001880.2,2,-0.0090
GSTA9P,3,-0.0090
AC114776.1,3,-0.0090
CRPP1,3,-0.0090
LINC00967,3,-0.0090
RNU7-197P,3,-0.0090
SDHAF2,2,-0.0059
RN7SL255P,4,-0.0057
SDHAF3,2,-0.0046
LINC00968,3,-0.0083
AGPS,3,0.0087
SDHAF1,2,0.0017
AL157902.1,4,-0.0090
LINC00963,2,-0.0064
LINC00964,3,-0.0090
AL157902.2,4,-0.0088
SDHAF4,5,0.0002
RNU6-346P,3,-0.0090
AC098582.1,3,-0.0090
LINC00960,5,-0.0050
TP53I13,3,0.0030
SPESP1,4,-0.0034
AC135050.1,2,-0.0088
AC135050.2,2,-0.0090
AC135050.3,2,-0.0086
LGALS9DP,3,-0.0090
AC010301.1,3,-0.0087
GSTA8P,3,-0.0089
RN7SL254P,3,-0.0088
RNU7-196P,3,-0.0090
LINC00996,2,-0.0090
RNU6-349P,3,-0.0090
AGR2,2,-0.0090
LINC00997,2,-0.0088
AGR3,2,-0.0090
LINC00992,4,-0.0090
AC010291.1,NA,-0.0090
TP53I11,2,-0.0018
LINC00993,2,-0.0090
OR2G1P,4,-0.0090
JAM2,4,-0.0068
LINC00994,4,-0.0090
JAM3,2,0.0036
DCBLD1,2,-0.0041
DCBLD2,5,0.0383
RN7SL253P,3,0.0044
AC026469.1,3,-0.0090
GSTA7P,3,-0.0090
LINC00989,3,-0.0090
RNU7-195P,4,-0.0073
AC009948.2,3,-0.0090
RNU6-348P,5,-0.0090
AC009948.3,3,-0.0089
LINC00987,3,-0.0089
AGRP,3,-0.0082
AC009948.1,3,-0.0090
AGRN,4,0.0438
AC004023.1,2,-0.0090
AC087564.1,3,-0.0090
THAP9-AS1,3,-0.0021
DKFZP434A062,2,-0.0090
RN7SL252P,2,-0.0090
GSTA6P,3,-0.0090
AC108161.1,3,-0.0090
RNU6-343P,3,-0.0080
AC105460.2,3,-0.0090
AC105460.1,3,-0.0090
AC093303.1,4,-0.0090
AL662907.3,NA,-0.0090
AL662907.1,6,-0.0068
PRAMEF30P,6,-0.0090
AL096711.1,2,-0.0090
AL096711.2,2,-0.0090
AL662907.2,6,-0.0081
RN7SL251P,3,-0.0087
JAML,2,-0.0090
AC027308.1,3,-0.0082
AP001150.1,2,-0.0090
RNU6-342P,5,-0.0080
TPM2P1,2,-0.0090
ETDA,2,-0.0090
ETDB,2,-0.0090
ETDC,2,-0.0081
RN7SL250P,3,-0.0090
AC069234.1,3,-0.0089
AC069234.2,3,-0.0090
AC069234.3,3,-0.0090
KHDC1,3,-0.0080
ABHD15-AS1,3,-0.0088
AL158147.1,2,-0.0090
KHDC4,3,0.0030
AL136087.1,4,-0.0089
AC069234.4,3,-0.0088
RNU6-345P,2,-0.0086
AC069234.5,3,-0.0082
AL670379.9,2,-0.0090
AC009802.1,3,-0.0088
AL670379.7,2,-0.0090
AL670379.8,2,-0.0090
AL670379.5,2,-0.0090
AL670379.6,2,-0.0090
AL670379.3,2,-0.0090
AC004263.1,3,-0.0083
AC004263.2,3,-0.0078
AL670379.4,2,-0.0090
AL670379.1,2,-0.0090
AL670379.2,2,-0.0090
SH3BP5L,3,0.0033
RNU6-344P,2,-0.0086
ARPC1BP1,3,-0.0090
IGHJ3P,4,-0.0090
AC024597.1,2,-0.0090
ZBTB20-AS1,5,-0.0081
ZBTB20-AS2,5,-0.0087
ZBTB20-AS3,5,-0.0081
ZBTB20-AS4,5,-0.0082
ZBTB20-AS5,5,-0.0083
ETFA,4,0.0145
ETFB,2,-0.0068
AP000322.2,4,-0.0090
AP000322.1,4,-0.0090
RNU7-190P,3,-0.0090
ADIRF-AS1,2,-0.0074
AL161725.1,2,-0.0090
AC138623.1,3,-0.0090
AL161725.2,2,-0.0089
LINCR-0001,3,-0.0089
AC099661.1,NA,-0.0088
PRAMEF34P,6,-0.0090
PRAMEF35P,6,-0.0090
AC091730.1,2,-0.0090
ETF1,3,0.0378
LINCR-0003,4,-0.0090
AGXT,3,-0.0090
RNU6-341P,4,-0.0037
AF274573.1,2,-0.0090
AC007405.1,3,-0.0089
AC007405.2,3,-0.0089
AC010197.2,4,-0.0090
PRAMEF31P,6,-0.0090
AC007405.3,3,-0.0085
AC007405.4,3,-0.0090
AC010197.1,4,-0.0089
AC026719.1,3,-0.0090
NNAT,4,-0.0081
ACVR2B-AS1,4,-0.0065
RNU6-340P,3,-0.0090
POTEB2,4,-0.0090
POTEB3,4,-0.0090
PRAMEF32P,6,-0.0090
AL117334.1,4,-0.0088
AC024451.1,3,-0.0083
AC024451.2,3,-0.0081
AC024451.3,3,-0.0089
AC024451.4,3,-0.0082
AC010207.1,5,-0.0089
AL355480.1,5,-0.0082
AC008474.1,2,-0.0086
AL355480.2,5,-0.0073
AL355480.3,5,-0.0079
AL355480.4,5,-0.0090
ANPEP,4,0.0013
AC046168.1,4,-0.0090
AC046168.2,4,-0.0090
C6orf120,2,0.0009
MANEALP1,3,-0.0088
AP000561.1,4,-0.0090
ASDURF,3,-0.0090
AL117335.1,4,-0.0089
AP001056.1,3,-0.0090
AP001056.2,3,-0.0090
C6orf118,2,-0.0088
ROPN1,4,-0.0087
AC092954.1,5,-0.0090
AC092954.2,5,-0.0090
AC006077.2,3,-0.0083
DECR2,3,-0.0072
DECR1,3,-0.0029
NDUFAF8,4,0.0005
NDUFAF6,3,-0.0075
NDUFAF7,3,-0.0021
AC005831.1,3,-0.0081
NDUFAF4,2,-0.0055
NDUFAF5,4,-0.0058
NDUFAF2,4,-0.0065
NDUFAF3,4,0.0286
NDUFAF1,4,-0.0027
SPAG16,3,-0.0081
SPAG17,4,-0.0090
MTRNR2L5,2,-0.0090
MTRNR2L6,2,-0.0089
MTRNR2L7,3,-0.0090
SPATC1L,3,-0.0042
MTRNR2L8,2,-0.0086
MTRNR2L1,4,-0.0088
MTRNR2L2,3,-0.0088
MTRNR2L3,4,-0.0084
MTRNR2L4,3,-0.0090
PPP3CA,3,0.0100
PPP3CB,2,0.0010
PPP3CC,3,0.0002
MTRNR2L9,3,-0.0090
RNU4-33P,3,-0.0090
AC106744.1,4,-0.0090
AC106744.2,4,-0.0090
C6orf163,2,-0.0084
AC084864.1,2,-0.0090
AC006077.1,3,-0.0088
CTTNBP2NL,3,-0.0013
ARHGEF9,2,-0.0061
AL391684.1,2,-0.0087
AL596325.1,3,-0.0087
AL596325.2,3,-0.0054
ARHGEF3,4,-0.0022
RNU4-34P,3,-0.0085
ARHGEF4,3,-0.0086
ARHGEF1,5,0.0107
ARHGEF2,3,0.0268
ARHGEF7,2,-0.0040
UQCRHP1,3,-0.0089
AC084864.2,NA,-0.0090
ARHGEF5,2,-0.0085
ARHGEF6,2,0.0004
UQCRHP2,3,-0.0089
UQCRHP3,3,-0.0090
UQCRHP4,4,-0.0088
AHCY,4,0.0259
RNU4-30P,3,-0.0083
COL6A4P1,5,-0.0090
COL6A4P2,5,-0.0090
AC239584.1,3,-0.0090
AC090651.1,4,-0.0088
AC012354.1,3,-0.0090
AP001547.1,2,-0.0090
AC012354.2,3,-0.0090
AC012354.5,3,-0.0090
AC012354.6,3,-0.0090
AC012354.3,3,-0.0090
AC012354.4,3,-0.0090
AC012354.9,3,-0.0090
AC012354.7,3,-0.0090
AC012354.8,3,-0.0090
C6orf141,3,-0.0089
SPRYD3,3,0.0087
SPRYD4,3,-0.0079
RNU4-31P,2,-0.0090
SPRYD7,2,-0.0047
AP005120.1,3,-0.0088
RP1L1,3,-0.0090
AC131235.3,4,-0.0090
AC131235.1,4,-0.0083
AC131235.2,4,-0.0082
NDUFAB1,2,0.0139
C6orf136,3,-0.0049
RNU4-32P,3,-0.0090
C6orf132,4,-0.0084
USP9YP4,1,-0.0090
USP9YP5,1,-0.0090
USP9YP2,1,-0.0090
USP9YP3,1,-0.0090
USP9YP1,1,-0.0090
USP9YP8,1,-0.0090
CELSR1,7,0.0078
ETS1,2,0.0289
CELSR2,3,0.0021
USP9YP9,1,-0.0090
USP9YP6,1,-0.0090
ETS2,4,0.0165
CELSR3,4,-0.0033
USP9YP7,1,-0.0090
LINC00939,3,-0.0090
POTEKP,3,-0.0089
LINC00934,3,-0.0090
GNPTAB,3,0.0046
LINC00937,3,-0.0090
LINC00930,4,-0.0090
AC005487.1,2,-0.0090
DTNB-AS1,3,-0.0087
AC008964.1,NA,-0.0090
LINC00933,4,-0.0089
RNU4-37P,3,-0.0090
AC112722.1,3,-0.0082
AC073115.1,2,-0.0087
AC073115.2,2,-0.0089
AC074183.1,2,-0.0090
AC074183.2,2,-0.0090
AL034418.1,4,-0.0082
GM2AP1,5,-0.0090
GM2AP2,3,-0.0090
SLFN12,2,-0.0028
LINC00927,4,-0.0090
SLFN13,2,-0.0087
LINC00928,4,-0.0090
LINC00929,4,-0.0090
SLFN11,2,0.0063
LINC00923,4,-0.0090
LINC00924,4,-0.0090
SLFN14,2,-0.0090
GNG12-AS1,3,-0.0083
LINC00926,4,-0.0088
LINC00920,3,-0.0055
LINC00921,3,-0.0085
LINC00922,3,-0.0083
RNU4-38P,5,-0.0088
OR52B5P,2,-0.0090
NNMT,2,0.0598
PLGRKT,2,-0.0015
AP003119.1,2,-0.0088
NDUFB10,3,0.0461
AP003119.2,2,-0.0087
NDUFB11,2,0.0697
SLC41A2,3,-0.0046
AP003119.3,2,-0.0087
PGDP1,3,-0.0090
SLC41A3,5,0.0053
SLC41A1,3,0.0015
NPIPB14P,3,-0.0090
LINC00957,2,-0.0083
LINC00958,2,-0.0090
RNU4-35P,2,-0.0090
