HGNC_Symbol,log2R_CNA,Z_Score
ZNF542P,2,-0.0080
AC098828.1,3,-0.0090
CRISPLD1,3,-0.0051
CRISPLD2,3,0.0056
TBC1D26-AS1,3,-0.0090
DOCK9-DT,2,-0.0084
DHX8,6,0.0136
DHX9,3,0.0410
AC116533.1,2,-0.0029
AC080013.1,5,-0.0085
MC2R,3,-0.0090
AC093142.1,5,-0.0088
AC080013.2,5,-0.0087
AC080013.3,5,-0.0090
STK25P1,3,-0.0090
AC080013.4,5,-0.0086
AC005252.2,3,-0.0090
OR7E47P,3,-0.0090
AC005252.3,3,-0.0090
AC005252.4,3,-0.0090
SLC10A4,3,-0.0087
SLC10A5,3,-0.0085
SLC10A6,3,-0.0090
SLC10A7,3,-0.0067
AC005252.1,3,-0.0090
TRDV2,5,-0.0090
TRDV3,5,-0.0090
SLC10A1,4,-0.0067
SLC10A2,2,-0.0090
TRDV1,5,-0.0090
SLC10A3,2,0.0138
IL36G,3,-0.0090
AC022023.1,2,-0.0087
AC022023.2,2,-0.0090
AL162393.1,2,-0.0090
PEX5L,5,-0.0083
MC1R,3,-0.0082
AL021368.5,NA,-0.0089
AL021368.1,3,-0.0090
AL021368.2,3,-0.0080
AL021368.3,3,-0.0087
AL021368.4,3,-0.0090
OR7E46P,3,-0.0090
OR3A4P,3,-0.0089
AL137076.1,6,-0.0090
MC4R,3,-0.0090
MIR223HG,2,-0.0090
ZHX2,3,-0.0026
ZHX3,4,-0.0005
CACYBP,3,0.0051
MLECP1,3,-0.0090
RNU7-4P,4,-0.0090
ZHX1,3,-0.0007
RNF144A,3,-0.0038
RNF144B,4,-0.0087
MC3R,4,-0.0090
AP005057.1,3,-0.0090
RNU7-7P,2,-0.0090
PEX16,2,-0.0027
PEX19,3,0.0002
MT2P1,3,-0.0081
RNU7-6P,4,-0.0090
PEX10,4,-0.0014
PEX12,2,-0.0055
PEX13,3,0.0010
PEX14,6,0.0071
MC5R,3,-0.0086
PPM1J-DT,3,-0.0090
AL033523.1,5,-0.0090
RN7SL559P,6,0.0156
AL033523.2,5,-0.0090
SNORA58B,3,-0.0090
INPPL1,2,0.0242
AC027673.1,2,-0.0090
IGF1R,4,0.0000
PPIP5K1,4,-0.0061
AL691449.1,6,-0.0090
PPIP5K2,4,-0.0020
MIR6129,4,-0.0077
AL139379.1,NA,-0.0090
MIR6127,6,-0.0090
MIR6128,2,-0.0090
MIR6125,4,-0.0090
